add,del,files,url
2,0,1,https://github.com/OpenSWATH/documentation/pull/24
1,1,1,https://github.com/hydrusnetwork/hydrus/pull/671
1,1,1,https://github.com/jgraph/drawio/pull/1211
1,1,1,https://github.com/hasgeek/funnel/pull/920
1,1,1,https://github.com/x64dbg/x64dbg.github.io/pull/20
1,1,1,https://github.com/SteamDatabase/BrowserExtension/pull/74
12,0,1,https://github.com/jakevdp/PythonDataScienceHandbook/pull/270
6,6,1,https://github.com/susam/mano-cpu/pull/1
2,0,1,https://github.com/kunal-kushwaha/ML-Cloak/pull/3
2,2,1,https://github.com/AlexanderC/DiseaseControl/pull/1
7,5,1,https://github.com/cakephp/app/pull/809
2,2,1,https://github.com/COVID19Tracking/website/pull/1479
2,2,1,https://github.com/smoke-trees/website/pull/48
1,0,1,https://github.com/powerbot/RSBot-API/pull/2186
1,0,1,https://github.com/enable3d/enable3d-website/pull/45
3,3,1,https://github.com/smoke-trees/website/pull/47
1,1,1,https://github.com/neon-bindings/website/pull/172
8,8,1,https://github.com/COVID19Tracking/website/pull/1478
1,1,1,https://github.com/JuanPotato/Activity-Scraper/pull/1
1,1,1,https://github.com/PHPMailer/PHPMailer/pull/2148
2,2,1,https://github.com/afsy/website/pull/243
1,1,1,https://github.com/OCA/website-cms/pull/118
20,0,1,https://github.com/OCA/website/pull/775
1,1,1,https://github.com/parcel-bundler/website/pull/707
2,0,1,https://github.com/vanruby/vanruby.github.io/pull/66
1,1,1,https://github.com/oltpbenchmark/website/pull/28
2,2,1,https://github.com/TodoBackend/todo-backend-site/pull/229
3,1,1,https://github.com/ableco/techtalks.pe/pull/71
2,2,1,https://github.com/grails/grails-static-website/pull/159
1,0,1,https://github.com/whiskyweb/whiskyweb-website/pull/106
3,3,1,https://github.com/sagemath/website/pull/206
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/88
1,1,1,https://github.com/OCA/website-cms/pull/117
1,1,1,https://github.com/covindia/CovIndia-Website/pull/102
2,2,1,https://github.com/winterofcode/winterofcode.github.io/pull/17
1,0,1,https://github.com/runatlantis/atlantis/pull/1208
2,2,1,https://github.com/COVID19Tracking/website/pull/1477
2,0,1,https://github.com/gregjopa/express-app-testing-demo/pull/16
0,1,1,https://github.com/lnug/website/pull/164
1,1,1,https://github.com/trezor/trezor-wallet/pull/640
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/87
2,2,1,https://github.com/nisrulz/javadoc-themer/pull/4
361,0,3,https://github.com/kaustubhgupta/Hacktoberfest2020_/pull/88
15,0,1,https://github.com/python/cpython/pull/22483
3,2,1,https://github.com/jonbarron/website/pull/56
2,2,1,https://github.com/grails/grails-static-website/pull/158
1,1,1,https://github.com/nim-lang/website/pull/223
3,0,1,https://github.com/skeeto/sample-java-project/pull/53
1,1,1,https://github.com/openfoodfacts/openfoodfacts-cordova-app-old-with-blob/pull/30
45,0,1,https://github.com/kaustubhgupta/Hacktoberfest2020_/pull/87
0,0,1,https://github.com/scipy-lectures/scipy-lecture-notes/pull/493
1,1,1,https://github.com/SethClydesdale/genki-study-resources/pull/93
4,4,1,https://github.com/CalebFenton/simplify/pull/148
3,0,1,https://github.com/relevance/org-html-slideshow/pull/30
1,1,1,https://github.com/dipy/dipy_web/pull/83
63,0,1,https://github.com/rushter/MLAlgorithms/pull/80
3,0,1,https://github.com/serde-rs/json/pull/713
87,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/86
1,1,1,https://github.com/parcel-bundler/website/pull/703
1,1,1,https://github.com/relevance/org-html-slideshow/pull/29
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/85
3,1,1,https://github.com/getredash/website/pull/499
1,1,1,https://github.com/UQComputingSociety/website/pull/215
1,0,1,https://github.com/jakevdp/PythonDataScienceHandbook/pull/269
1,1,1,https://github.com/python/cpython/pull/22482
3,3,1,https://github.com/umbraco/Umbraco-CMS/pull/9018
1,1,1,https://github.com/iCollin/pubg-internal/pull/4
295052,382686,30,https://github.com/godotengine/godot/pull/42470
1,0,1,https://github.com/juxt/crux/pull/1147
2,2,1,https://github.com/smoke-trees/website/pull/46
1,1,1,https://github.com/consbio/Leaflet.HtmlLegend/pull/21
0,0,1,https://github.com/whatwg/html/pull/6002
3,1,1,https://github.com/smoke-trees/website/pull/45
